title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
Matter of Youth-0166,United States,California,2019,Los Angeles Juvenile Court,burglary,15-17,16-year-old entered a transit station without permission and took a bicycle. First offense.,burglary incident at transit station; minor in 15-17 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
R v. Y-0815 (Youth),United Kingdom,England,2023,Youth Court Birmingham,harassment,15-17,17-year-old sent repeated threatening messages to peer via TikTok. One prior warning only.,Juvenile harassment case with limited history in England.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0250,United States,Colorado,2018,Denver Juvenile Court,burglary,15-17,16-year-old entered a neighbor's garage without permission and took sporting goods. One prior warning only.,Juvenile burglary case with limited history in Colorado.,Anger management; probation 9 months.,https://www.courtlistener.com/
R v. Y-0843 (Youth),United Kingdom,Scotland,2018,Sheriff Court Glasgow,trespass,15-17,15-year-old entered restricted a public park after hours. First contact with juvenile court.,Juvenile trespass case with no prior record in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0827,United Kingdom,England,2023,Youth Court Birmingham,harassment,15-17,15-year-old sent repeated threatening messages to peer via TikTok. One prior warning only.,Juvenile harassment case with limited history in England.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0246,United States,Colorado,2020,Denver Juvenile Court,runaway,under 14,Runaway minor located after two days; Child referred by school counselor. First offense.,runaway matter involving under 14 juvenile in Colorado.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re J.D.-0257,United States,North Carolina,2021,Mecklenburg Juvenile Court,shoplifting,under 14,Minor stole snacks from school; apprehended by security. First offense.,shoplifting incident at school; minor in under 14 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
X v. State (JJ-0579),India,Karnataka,2020,JJ Board Bengaluru,shoplifting,15-17,15-year-old apprehended shoplifting clothing from a transit station. First contact with juvenile court.,Juvenile shoplifting case with no prior record in Karnataka.,Community service; probation.,https://services.ecourts.gov.in/
State v. Minor-0188,United States,Pennsylvania,2023,Philadelphia Family Court,weapon possession,15-17,Security search at a local shop revealed a metal pipe in 17-year-old's bag. First offense.,Juvenile weapon possession case with no prior record in Pennsylvania.,Anger management; probation 9 months.,https://www.courtlistener.com/
R v. Minor 0883,United Kingdom,England,2022,Youth Court Bristol,assault,under 14,School altercation: 14-year-old struck another student at a retail store. First contact with juvenile court.,assault incident at retail store; minor in under 14 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0733 (Youth),United Kingdom,Scotland,2018,Sheriff Court Glasgow,drug possession,under 14,14-year-old found with alcohol at a community center. One prior warning only.,Juvenile drug possession case with limited history in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re C-0772 (Child),United Kingdom,Northern Ireland,2021,Youth Court Belfast,cybercrime,under 14,14-year-old shared private photos online at a retail store. No financial gain. No prior record.,cybercrime incident at retail store; minor in under 14 age group.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0899 (Youth),United Kingdom,Northern Ireland,2021,Youth Court Belfast,arson,15-17,16-year-old set fire to a bus shelter at a community center. Minimal damage. One prior warning only.,arson incident at community center; minor in 15-17 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0568),India,Kerala,2019,JJ Board Kochi,truancy,15-17,17-year-old chronically absent from a local shop; 22 unexcused days. No prior delinquency history.,truancy matter involving 15-17 juvenile in Kerala.,Community service; probation.,https://services.ecourts.gov.in/
R v. Y-0705 (Youth),United Kingdom,Scotland,2020,Sheriff Court Glasgow,robbery,15-17,Strong-arm robbery allegation: 17-year-old and a public park. No prior record.,robbery matter involving 15-17 juvenile in Scotland.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0418,India,Bihar,2021,JJ Board Patna,arson,15-17,16-year-old set fire to a bus shelter at a public park. Minimal damage. No prior delinquency history.,arson incident at public park; minor in 15-17 age group.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re C-0645 (Child),United Kingdom,England,2019,Youth Court London,harassment,under 14,13-year-old sent repeated threatening messages to peer via text messages. No prior record.,Juvenile harassment case with no prior record in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0064,United States,Florida,2020,Miami-Dade Juvenile Court,drug possession,under 14,Minor discovered carrying marijuana during a neighbor's garage search. One prior warning only.,Juvenile drug possession case with limited history in Florida.,Restitution; informal probation.,https://www.courtlistener.com/
R v. Y-0894 (Youth),United Kingdom,England,2024,Youth Court London,arson,15-17,Fire incident at a transit station; 17-year-old admitted involvement. First offense.,arson incident at transit station; minor in 15-17 age group.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0431),India,Gujarat,2020,JJ Board Ahmedabad,shoplifting,under 14,13-year-old apprehended shoplifting a bicycle from a community center. One prior warning only.,Juvenile shoplifting case with limited history in Gujarat.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
R v. Y-0632 (Youth),United Kingdom,Wales,2023,Youth Court Swansea,weapon possession,15-17,Security search at a community center revealed a BB gun in 16-year-old's bag. First offense.,weapon possession incident at community center; minor in 15-17 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0782 (Youth),United Kingdom,Northern Ireland,2020,Youth Court Belfast,curfew violation,under 14,14-year-old found in public at a public park after curfew. First contact with juvenile court.,curfew violation incident at public park; minor in under 14 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0616,United Kingdom,Wales,2018,Youth Court Swansea,trespass,15-17,Unauthorized entry to a public park by 17-year-old. First offense.,trespass matter involving 15-17 juvenile in Wales.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0725 (Youth),United Kingdom,Scotland,2021,Sheriff Court Edinburgh,weapon possession,15-17,Security search at a recreation center revealed pepper spray in 16-year-old's bag. No prior delinquency history.,Juvenile weapon possession case with no prior record in Scotland.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0794 (Youth),United Kingdom,England,2019,Youth Court Leeds,harassment,15-17,Bullying complaint: 16-year-old harassed classmate at a recreation center. One prior warning only.,harassment incident at recreation center; minor in 15-17 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re Child 0462,India,West Bengal,2019,JJ Board Kolkata,curfew violation,under 14,14-year-old found in public at a community center after curfew. First offense.,Juvenile curfew violation case with no prior record in West Bengal.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re C-0666 (Child),United Kingdom,Scotland,2024,Sheriff Court Glasgow,theft,15-17,Theft reported: 15-year-old took sporting goods belonging to another at a recreation center. No prior delinquency history.,theft incident at recreation center; minor in 15-17 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0807 (Youth),United Kingdom,England,2019,Youth Court Bristol,theft,15-17,Theft reported: 16-year-old took sporting goods belonging to another at a transit station. No prior delinquency history.,Juvenile theft case with no prior record in England.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0232,United States,New York,2018,Kings County Family Court,trespass,15-17,16-year-old entered restricted a transit station after hours. No prior record.,trespass incident at transit station; minor in 15-17 age group.,House arrest 30 days; probation.,https://www.courtlistener.com/
R v. Y-0665 (Youth),United Kingdom,England,2019,Youth Court Leeds,theft,under 14,13-year-old stole clothing from a retail store. No prior record.,theft incident at retail store; minor in under 14 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0801 (Youth),United Kingdom,Northern Ireland,2024,Youth Court Belfast,truancy,15-17,Habitual truancy petition for 17-year-old failing to attend a transit station. First contact with juvenile court.,Juvenile truancy case with no prior record in Northern Ireland.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0554),India,Uttar Pradesh,2019,JJ Board Lucknow,drug possession,15-17,Minor discovered carrying alcohol during school search. First offense.,drug possession incident at school; minor in 15-17 age group.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re C-0903 (Child),United Kingdom,Northern Ireland,2023,Youth Court Belfast,trespass,under 14,Unauthorized entry to a community center by 13-year-old. First contact with juvenile court.,Juvenile trespass case with no prior record in Northern Ireland.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0231,United States,Florida,2021,Miami-Dade Juvenile Court,weapon possession,15-17,Security search at school revealed a BB gun in 15-year-old's bag. One prior warning only.,Juvenile weapon possession case with limited history in Florida.,Probation 6 months; counseling.,https://www.courtlistener.com/
